ground_truth,prediction,,
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","fail
",FALSE,0
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","success
",FALSE,0
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","success
",FALSE,0
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","success
",FALSE,0
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","fail
",FALSE,0
"success
","success
",TRUE,1
"success
","fail
",FALSE,0
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","success
",FALSE,0
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","fail
",FALSE,0
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","success
",FALSE,0
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"success
","success
",TRUE,1
"success
","fail
",FALSE,0
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"success
","success
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
"fail
","fail
",TRUE,1
